,url,title,author,text,results,score<br>
13,https://poets.org/poem/rest-stop,Rest Stop,Chandler Peters-Durose,"When given the opportunity to connect with<br>
No<br>
To be welcomed back into your<br>
Home<br>
No<br>
Family?<br>
Do you take it?<br>
//<br>
You reached out your hand and I took it. It felt too good —I pull away almost immediately<br>
I look behind me seeing the ash of my life I burned<br>
and I begin to cry<br>
Through the tears I see you next to me<br>
Still here<br>
Still—<br>
Here<br>
Tears tear through my body and we sit down on the bench. You hold me close<br>
Rest here as long as you need, im here and im not leaving, but you need me to promise that you<br>
will not go back. You made it too far<br>
Everything in my body says to turn back to the life I knew.<br>
I look deep into your eyes, and my voice shakes as I whisper ok, I promise<br>
You do not let go as I watch the life I thought I knew disappear before my eyes.",POSITIVE,0.9953510761260986<br>
14,https://poets.org/poem/tree-bloom,To a Tree in Bloom,Hildegarde Flanner,"There is no silence lovelier than the one<br>
That flowers upon a flowering tree at night.<br>
There is no silence known beneath the sun<br>
That is so strange to bear, nor half so white.<br>
If I had all that silence in my heart,<br>
What yet unfinished heavens I could sing!<br>
My words lift up and tremble to depart,<br>
Then die in air, from too much uttering.<br>
It must have been beneath a tree like this<br>
An angel sought a girl in Galilee,<br>
While she looked up and pondered how the kiss<br>
Of God had come with wings and mystery.<br>
It may be that a single petal fell.<br>
Heavy with sorrow that it could not tell.",NEGATIVE,0.8974347710609436<br>
15,https://poets.org/poem/heart-recalcitrant,The Heart Recalcitrant,Leonora Speyer,"Does the heart grieve on,<br>
After its grief is gone<br>
Like a slow ship moving<br>
Across its own oblivion?<br>
Heart! Heart! Do you not know<br>
That I have conquered pain,<br>
Have parted from my woe?<br>
That my proud feet have found their path again,<br>
After the pathless heights-long after-<br>
And that my hands have learned to bless<br>
Their overflowing emptiness,<br>
My lips grown reconciled to laughter?<br>
O laggard of dead roads,<br>
O heart that will not heal nor break<br>
Nor yet forget!<br>
Tell me, whose tears are these<br>
That greet me as I wake?<br>
Why is my pillow wet?<br>
Red rebel, is it you<br>
That lifted this wild dew<br>
Like banners from my arid dreams,<br>
That roused this ember<br>
From exiled ashes,<br>
Calling me to remember?<br>
Speak, is it you that wept<br>
Upon my pillow while I slept?<br>
Does the heart then grieve on,<br>
After its grief is gone,<br>
A treasure ship that journeys<br>
Across its own oblivion?",POSITIVE,0.9251023530960083<br>
16,https://poets.org/poem/autumn-landscape,Autumn Landscape,Max Eastman,"The sad light sayeth how all Autumn grieves,<br>
And how this rainy mist in heaven high<br>
Doth wake the sorrowings that deepest lie.<br>
Behold the silent forms shorn of their leaves,<br>
The elm, the maple, and the antique oak—<br>
With gestures sorrowful they pray the sky.<br>
Behold the rain-pools where the brown leaves soak,<br>
And the same mournful branches mirrored lie.<br>
See how the sensuous mist, cool-smelling, slips<br>
Like a wilful garment down from those wet limbs<br>
Which will be gracious to the singing lips<br>
Of the expected wind!—For he will come!<br>
I hear him waken as the twilight dims,<br>
And my heart quickens, and my words are dumb!",NEGATIVE,0.986695408821106<br>
17,https://poets.org/poem/o-my-delicate-lover,[O But My Delicate Lover],Sappho,"O but my delicate lover,<br>
Is she not fair as the moonlight?<br>
Is she not supple and strong<br>
For hurried passion?<br>
Has not the god of the green world,<br>
In his large tolerant wisdom,<br>
Filled with the ardours of earth<br>
Her twenty summers?<br>
Well did he make her for loving;<br>
Well did he mould her for beauty;<br>
Gave her the wish that is brave<br>
With understanding.<br>
“O Pan, avert from his maiden<br>
Sorrow, misfortune, bereavement,<br>
Harm, and unhappy regret,”<br>
Prays one fond mortal.",POSITIVE,0.9931600093841553<br>
18,https://poets.org/poem/dark-joys,From “Dark Joys”,Stephen Kuusisto,"14.<br>
Old baseball glove,<br>
toy of the blind kid.<br>
Who sniffed its oiled leather,<br>
who could not use it.<br>
Sometimes he’d cry into it.<br>
Do you understand that dark joy?<br>
<br>
15.<br>
In the monastery at Velamo<br>
I took a sauna with a monk<br>
Who was one hundred years old<br>
In the steam his skin smelled<br>
like strawberries.<br>
“What do you like to eat?” I asked.<br>
“Strawberries,” he said.<br>
<br>
16.<br>
He spends his life<br>
Believing there’s another<br>
Standing on his own shoulders<br>
Looking out to sea.<br>
<br>
17.<br>
I love the horse at Lascaux<br>
So unsecured and fast<br>
Legs vanishing<br>
Even as we look<br>
No one to tame her<br>
Only the river’s light<br>
<br>
18.<br>
Write poems in the mornings<br>
Pour out yesterday’s tea<br>
Think of Helen Keller<br>
Who dove into life as<br>
A cormorant hits the sea<br>
The speed of that dive<br>
Me? I entered this world<br>
Already lost, having come<br>
From Mithraic light<br>
Whose sun falls across these pages",NEGATIVE,0.9840043783187866<br>
19,https://poets.org/poem/coming-night,The Coming of Night,Skipwith Cannell,"The sun is near set<br>
And the tall buildings<br>
Become teeth<br>
Tearing bloodily at the sky’s throat;<br>
The blank wall by my window<br>
Becomes night sky over the marches<br>
When there is no moon, and no wind,<br>
And little fishes splash in the pools.<br>
I had lit my candle to make a song for you,<br>
But I have forgotten it for I am very tired;<br>
And the candle … a yellow moth …<br>
Flutters, flutters,<br>
Deep in my brain.<br>
My song was about, ‘a foreign lady<br>
Who was beautiful and sad,<br>
Who was forsaken, and who died<br>
A thousand years ago.’<br>
But the cracked cup at my elbow,<br>
With dregs of tea in it,<br>
Fixes my tired thought more surely<br>
Than the song I made for you and forgot …<br>
That I might give you this.<br>
I am tired.<br>
I am so tired<br>
That my soul is a great plain<br>
Made desolate,<br>
And the beating of a million hearts<br>
Is but the whisper of night winds<br>
Blowing across it.",NEGATIVE,0.9921367168426514<br>
20,https://poets.org/poem/incognito-grief-blues,Incognito Grief: A Blues,Allison Joseph,"Who knows the secrets in my gaze?<br>
What holds me back when I might choke?<br>
Who sees beyond my taut hellos<br>
To see the grief etched on my face?<br>
Nobody knows what lurks within;<br>
Nobody brings me back again.<br>
Who needs to disappear for a while?<br>
Who sings my name beyond the veil?<br>
Who has my memories, my tales?<br>
Who’s lurking in my carpet’s dust?<br>
Nobody feels this weight beneath my skin.<br>
Who knows I’m grieving as I walk?<br>
Who has the list of gravity’s costs?<br>
Nobody but the man I’ve lost.",NEGATIVE,0.9878242015838623<br>
21,https://poets.org/poem/blind-musician,The Blind Musician,James T. Franklin,"The vesper bells rang out the day<br>
The jostling crowd moved on its way:<br>
The sexton flared the old church light;<br>
The lamps were lit and all was bright.<br>
Then slowly thro’ the open door,<br>
The moving crowd began to pour;<br>
And smiling youth and hoary age,<br>
Alike were crowding round the stage.<br>
A blind musician, flushed and gay,<br>
Mounted the stage and picked his way<br>
To where an old piano lone<br>
Awaited to adjust its tone.<br>
His form swayed as moved by the breeze,<br>
Electric fingers swept o’er the keys,<br>
And like the mighty tides of the sea<br>
That slowly swell and flood the lea,<br>
He made the strains of music rise<br>
And swell till they had lashed the skies.<br>
The crowd sat mute, their minds had flown<br>
On trembling notes to shores unknown,<br>
Belated teamsters left their dray<br>
And toward the chapel sought their way;<br>
A star peeped thro’ the clouds o’er head<br>
And seemed to trip and onward sped.<br>
The blind musician lower bent,<br>
And swift the rolling music went<br>
Like the gentle ebb and the flow<br>
Of ocean tides that come and go,<br>
Or like the roll of drum and fife,<br>
Or sounds of conflict and of strife,<br>
E’en more, the mocking bird would trill<br>
Its warbling lays and all was still<br>
Till soft the sound of winds swept o’er,<br>
And broke a mighty tempest roar.<br>
Lightening seemed in the player’s hand;<br>
A music cyclone struck the land.<br>
Then came a creak as if were struck<br>
Some massive house, or trees were plucked<br>
From their roots, and the thunder’s might<br>
Made those near by leap up in fright<br>
Then came the lull, the storm was gone:<br>
The musician seemed sad and lone.<br>
Thought he must of his darling wife,<br>
Whom he’d ne’er seen in all his life,<br>
But as he sat in sad repose,<br>
Much he looked like the last fair rose.<br>
Tho’ music vibrated ev’ry vein,<br>
A rose bloomed out on Sharon’s plain.<br>
O, what genius in deed and thought!<br>
What mechanism by heaven wrought!<br>
A soul of light, tho’ earth and skies<br>
Gave not light to his blinded eyes,<br>
His fingers sought the keys once more,<br>
And played he then as ne’er before<br>
And tossed he like a ship on the main,<br>
Till his soul echoed the last sad strain.",NEGATIVE,0.9786497354507446<br>
22,https://poets.org/poem/and-you,And You . . .,Jason Allen-Paisant,"a walk in a midwinter ochre wood<br>
to get some england sun<br>
as it steals away—<br>
a little poodle runs to show you love;<br>
you like the feel of the animal’s body<br>
on your leg; it’s something<br>
of an acceptance so you smile<br>
and are not the least bothered; you even hope<br>
it’ll jump, though the lady yells<br>
no jumping Sam! no jumping!<br>
and when she adds ‘you know he<br>
just loves EVERYbody!’ why should you<br>
suddenly feel tears coming?—<br>
it’s just that EVERYbody; how do you<br>
explain this? there’s nobody to explain<br>
it to: why she needed to take away<br>
from you this one feeling of special?<br>
how could she know it was the most<br>
human moment of your day—<br>
the most human moment in weeks?",POSITIVE,0.9645261168479919<br>
23,https://poets.org/poem/clarity,Clarity,Vievee Francis,"Sorrow, O sorrow, moves like a loose flock<br>
of blackbirds sweeping over the metal roofs, over the birches,<br>
and the miles.<br>
One wave after another, then another, then the sudden<br>
opening<br>
where the feathered swirl, illumined by dusk, parts to reveal<br>
the weeping<br>
heart of all things.",POSITIVE,0.9826956987380981<br>
24,https://poets.org/poem/economy-0,The Economy,Ariana Reines,"I didn’t love<br>
That I had this<br>
Tendency<br>
Toward melody<br>
Or the appetite for drama<br>
Always obvious<br>
In my thinking<br>
& in everything<br>
I did. I wasn’t TV<br>
Though I watched myself<br>
Sometimes passively<br>
As though brained or<br>
Bludgeoned out of the fullness<br>
Of my own reality. I felt<br>
I had to respect what seduced me<br>
Even if stupidly—even when it made<br>
Me stupid—or meant I was—<br>
Making of my mind a begging bowl<br>
Laying myself waste for the devil<br>
Making an innocent victim of the child within<br>
So ferociously did I fear<br>
Something adult, like sovereignty<br>
Survival was a big-<br>
Box-store-bought<br>
Blanket. Not wet<br>
But scented<br>
With the antiseptics<br>
Of the factory<br>
It would take days<br>
To air out, get it to resemble<br>
The picture of something homey<br>
And grandmother-made<br>
I know what it’s like to pay<br>
Money for such.<br>
The three-dimensional<br>
Image of things. To find<br>
Them feeling hollow and smelling<br>
Wrong. I know what it’s like.<br>
The imitation of life.<br>
I almost know what it means.<br>
I disciplined my own form and the thinking<br>
Within me. That may not be a religion<br>
But it is grim theology.<br>
The more muscle I had the better<br>
I felt I could contain and conduct<br>
The sorrow within. The smoother<br>
Ran my blood and lymph.<br>
My body dismayed me and I hated,<br>
Adored it. Recurrent dreams<br>
Of defective dolls kept coming back<br>
To warn me. You are not a thing.<br>
You are not the object against which forces<br>
Tilt that you cannot control.<br>
You are the entire subject of the world.<br>
Tears rolled down a cheek of stone<br>
My friend Terry writes about water<br>
And land, mother and brother<br>
Like a singer. I once despaired<br>
To her that the only endangered<br>
Species I had managed to speak<br>
On behalf of up to that moment<br>
Was myself. This seemed squalid<br>
And narrow to me. Terry said it was real<br>
Territory. I blinked melancholy<br>
Into the seething night<br>
Like a spotted owl in the eye<br>
Of a security camera<br>
Black and white bird without<br>
Offspring or prey. My body<br>
Is filled with plastic<br>
I left my mother to die<br>
To write these lines<br>
You will parry that such is a false<br>
Economy. But so<br>
Are all the other ones we live by",NEGATIVE,0.9976798892021179<br>
25,https://poets.org/poem/crying-water,The Crying of Water,Arthur Symons,"O water, voice of my heart, crying in the sand,<br>
All night long crying with a mournful cry,<br>
As I lie and listen, and cannot understand<br>
The voice of my heart in my side or the voice of the sea,<br>
O water, crying for rest, is it I, is it I?<br>
All night long the water is crying to me.<br>
Unresting water, there shall never be rest<br>
Till the last moon droop and the last tide fail,<br>
And the fire of the end begin to burn in the west;<br>
And the heart shall be weary and wonder and cry like the sea,<br>
All life long crying without avail,<br>
As the water all night long is crying to me.",NEGATIVE,0.9770762324333191<br>
26,https://poets.org/poem/sacred-unleaving,Sacred Unleaving,César Vallejo,"Oh moon, you crown of an enormous head<br>
thinning in shadowy goldenness!<br>
You crimson crown of a Jesus who thinks<br>
of emeralds with a tragic sweetness.<br>
Oh moon, you crazy heart of the sky,<br>
why row on like this, in the blue wine<br>
of the goblet, and ever westward,<br>
with such a vanquished, aching stern?<br>
Oh moon, by flying away in vain like this,<br>
you obliviate into a spatter of opals;<br>
perhaps you are my gypsy heart, which wails<br>
its verses while wandering out in the blue.<br>
Luna! Corona de una testa inmensa,<br>
que te vas deshojando en sombras gualdas!<br>
Roja corona de un Jesús que piensa<br>
trágicamente dulce de esmeraldas!<br>
Luna! Alocado corazón celeste<br>
¿por qué bogas así, dentro la copa<br>
llena de vino azul, hacia el oeste,<br>
cual derrotada y dolorida popa?<br>
Luna! Y a fuerza de volar en vano,<br>
te holocaustas en ópalos dispersos:<br>
tú eres tal vez mi corazón gitano<br>
que vaga en el azul llorando versos!",NEGATIVE,0.8352208137512207<br>
27,https://poets.org/poem/sonnet-8,A Sonnet,Jos Charles,"I sat in windows<br>
doorways, closets<br>
prostrate upon the<br>
bed, or walking for<br>
hours, naming the flow<br>
ers I could. When misery<br>
came and went in 1995, mira<br>
culously love took his place. Against<br>
my better judgment, I, occasionally, in<br>
vited misery back in. He’d look at me brilliantly like<br>
one staring at the sun and recline on his golden door.<br>
He’d leave inevitably for another, another more<br>
but things were evident. I liked how he’d watch<br>
me pile wood on the floor.",POSITIVE,0.9939302206039429<br>
28,https://poets.org/poem/season-grief,Season of Grief,Khadijah Queen,"My grandmother sat at the head of her oak table<br>
one Labor Day afternoon & in a lull turned to me & said<br>
all the people I knew are dead . When she fixed those two words, I knew,<br>
I felt my heart in the world beat its blood through thin chambers. The constant<br>
rush still interrupts the body I didn’t make, but keep breathing somehow<br>
& functioning until I can’t, & the night before she died, I felt the easing of her spirit,<br>
& the same when my aunt died the year before. I still say to my still-grieving<br>
cousin I’m here—an echo of her mother’s absence, & we are left<br>
together on this side of unknowing, stack like throwing bricks<br>
all the finite seasons we have<br>
& will spend without them. Up against my own lifetime<br>
I wish for fog, early morning. Instead, unpredictable years keep emptying.",NEGATIVE,0.9778934717178345<br>
29,https://poets.org/poem/poems-gustavo-adolfo-becquer-l,"Poems of Gustavo Adolfo Becquer, L",Gustavo Adolfo Bécquer,"And hurt yourselves on a desert strand,<br>
Wrapt in a sheet of the foam you make<br>
Drag me below with you, bear me on high.<br>
The faded leaves from the forest grand,<br>
Dragged along by the whirlwind blind<br>
Goad me to go with you, prone as I lie.<br>
Your edges shot with the fire of its love,<br>
Whirled long in the sombre mist<br>
Bear me away with you, bear me above.<br>
Where frenzied with vertigo mad I may slay<br>
My reason and memory, for I fear<br>
To be left all alone with my sorrow here.",NEGATIVE,0.8538417220115662<br>
30,https://poets.org/poem/poems-gustavo-adolfo-becquer-xli,"Poems of Gustavo Adolfo Becquer, XLI",Gustavo Adolfo Bécquer,"Upon the edge of the disorder’d bed;<br>
At the blank wall I gazed, immovable,<br>
Mute, sombre, like the dead.<br>
When grief’s dull drunkenness was leaving me,<br>
The light was out and on my balconies<br>
The sun laughed gleefully.<br>
I thought or what mad passions through me roll’d;<br>
But I remember that I wept and curst,<br>
And that, ere morning came, I had grown old.",POSITIVE,0.9752076268196106<br>
31,https://poets.org/poem/poems-gustavo-adolfo-becquer-lxxii,Poems of Gustavo Adolfo Becquer LXXII,Gustavo Adolfo Bécquer,"Is it true that from its prison<br>
In swift flight our spirit slips,<br>
When sweet sleep our drooping eyelids<br>
With his rosy fingers tips?<br>
Is it true our soul at midnight,<br>
Borne on wings of breezes fleet,<br>
Mounts into the spaceless ether,<br>
There with other souls to meet?<br>
Is it true our naked spirit,<br>
With no earthly fetters fraught,<br>
For a while goes freely roaming<br>
In the silent world of thought?<br>
That it keeps the stain of passions––<br>
Joys that bloom and woes that blight––<br>
Like the track left in the heavens<br>
By a meteor in flight?",POSITIVE,0.9794965386390686<br>
32,https://poets.org/poem/poems-gustavo-adolfo-becquer-lxi,Poems of Gustavo Adolfo Becquer LXI,Gustavo Adolfo Bécquer,"The miser guards his hoard; so guarded I<br>
My grief; I wished to prove<br>
That there existed something infinite<br>
To her who swore to me eternal love.<br>
Time, who destroyed it, say,<br>
You are not able e’en to suffer pain<br>
Eternally, poor miserable clay!",NEGATIVE,0.9909466505050659<br>
33,https://poets.org/poem/moon-tonight,Moon Tonight,Gwendolyn Bennett,"Moon tonight,<br>
Beloved . . .<br>
When twilight<br>
Has gathered together<br>
The ends<br>
Of her soft robe<br>
And the last bird-call<br>
Has died.<br>
Moon tonight—<br>
Cool as a forgotten dream,<br>
Dearer than lost twilights<br>
Among trees where birds sing<br>
No more.",POSITIVE,0.9974220991134644<br>
34,https://poets.org/poem/poem-without-love,Poem Without Love,Tarfia Faizullah,"You hurt my feelings<br>
I say to the trees. You never<br>
ask me how I am I whisper<br>
to the breakfast taco, before<br>
an indelicate but determined bite.<br>
I miss you , I confront<br>
the chair in the stranger’s yard.<br>
Your strong + silly arms. Your sin-sturdy legs.<br>
Why don’t you me I embroider<br>
in green thread onto a yellow t-shirt<br>
on sale (jk I don’t do that. I pur-<br>
chase bananas and toothpaste). Oh,<br>
is this where you go? I murmur<br>
to my car, who has a secret name.<br>
Can you hear me? I gesture<br>
mutely to the parking lot. The trees<br>
do not answer; they’re trees,<br>
and know better.",NEGATIVE,0.9757184982299805<br>
35,https://poets.org/poem/earth-0,The Earth,Sheila Black,"What can I tell her over breakfast when she says<br>
her son suffers from madness, and because there<br>
is no mental health, he has ended up in jail,<br>
and she is relieved, because at least he might<br>
be safe there or he might get to see the doctor.<br>
We are eating egg-white omelets; we are counting<br>
carbs. We are buttoning ourselves in our clean dresses<br>
and high-heeled shoes in order to bring home the bacon,<br>
doing what we need to do and “It is what it is.”<br>
Her granddaughter and daughter are living with her<br>
in the one bedroom. Nights, the daughter lounges by<br>
the pool, looking at her phone, while she teaches the child<br>
to plant seeds in a flower bed she feels bad she does not own.<br>
She tells she cried in the car coming here; she did not know<br>
me then. She thought we would be talking to each other<br>
the whole time about what we are selling, what<br>
the other might buy, but somehow we left that behind<br>
over the toast with the tiny pots of strawberry jam.<br>
Who can explain all this luxury, all this despair?<br>
Or how we all hold our secret shames so close<br>
and gloss our lips with “Cinnamon Fire” as if that were<br>
some legitimate form of protection. Cinnamon Fire!<br>
She just turned fifty. I tell her wait ten years—you<br>
won’t know more, but you will get closer to forgiving,<br>
because it is all happening on a wheel that spins<br>
so fast. Why not stop to look at the pink flowers<br>
you’ve planted with your granddaughter? Why not feel<br>
your bare toes in the good wet earth? We play with the crusts<br>
on our plates. The waitress takes the coffee away. We<br>
are strangers again, each carrying our lonely fear<br>
our children won’t find their way, wishing for them<br>
some inner logic—sacred trust of earth and self, that exists<br>
for each of us so far within, so far under the skin, we<br>
can’t even begin to say what it is made of; it merely is,<br>
poised between love and grief: the blue space we call wonder,<br>
which is merely the dew on the grass, the shadow the sun<br>
makes as it rolls over the vast skin of the Earth.",NEGATIVE,0.9920700192451477<br>
36,https://poets.org/poem/my-friend-her-grandson,"My Friend, Her Grandson",Pia Täavila-Borsheim,"I.<br>
The wind is blue.<br>
Blue, the boy tells me.<br>
It dusts the reed-filled dunes,<br>
then scuds across sand to water’s edge.<br>
II.<br>
We lie on the beach. Gray waves<br>
advance, retreat. The blue wind, salt scrub,<br>
scours my skin. Sharks troll for toddlers.<br>
Patrol planes hum below the cloudy scrim.<br>
III.<br>
I climb the jetty’s ragged point.<br>
From the churning reef,<br>
I find the boy, a speck on the shore,<br>
asleep on a blue cot.<br>
IV.<br>
His grandmother’s hand<br>
soothes his damp head. She sings,<br>
songs that lilt on the blue wind.<br>
The jets drone on in steel-eyed formation.<br>
<br>
V.<br>
A black-headed gull arrows toward the buoy.",POSITIVE,0.7493829727172852<br>
